fish,event,set,troughIn,troughOut,gearDepth,gearType,fl,circ,hookLoc,clip,dna,gill,scaleBook,scaleNumber,pitLeader,pitID,floy,acoustic,acousticType,injury,scaleLoss,finDam,E1,E2,vor,tailGrab,bodyFlex,vent,ori,comment
CK363,CT2020_089,89,945,949,22,spoon,68,45,corner,Y,20_106,121,8010,26-30,989.0010333,96788,142,9998,V13P,0,0,1,5.9,5.6,0,0,0,0,0,
CK364,CT2020_090,90,950,954,10,spoon,66,42,snout/eye,N,20_107,NA,8010,31-35,989.0010333,96738,NA,NA,NA,2,0,1,8.6,8.4,0,0,0,0,0,
CK365,CT2020_091,91,1054,1057,24,flasher,79,47,corner,N,20_108,NA,8010,36-40,989.0010333,96760,NA,NA,NA,3,0,0,10.7,9.9,0,0,0,0,0,lots of blood
CK366,CT2020_095,95,1249,1252,24,flasher,72,45,foul,N,20_109,NA,8010,41-45,989.0010333,96809,NA,NA,NA,3,0,1,10.5,9.4,0,0,0,0,0,lots of blood
CK367,CT2020_102,102,1632,1635,16,spoon,61,33,corner,Y,20_110,NA,8010,46-50,989.0010333,96763,NA,NA,NA,0,0,0,4.3,3.9,0,0,0,0,0,
CK368,CT2020_103,103,912,917,20,flasher,65,44,corner,Y,20_121,122,8006,5-Jan,989.0010333,96747,143,9999,V13P,0,0,0,8.6,8.7,0,0,0,0,0,RECAPTURED (see file)
CK369,CT2020_103,103,919,942,20,flasher,51,28,corner,Y,20_122,NA,8006,10-Jun,989.0010333,96811,NA,NA,NA,0,0,0,0.9,0.7,0,0,0,0,0,
CK370,CT2020_104,104,942,946,20,flasher,67,42,corner,N,20_123,NA,8006,15-Nov,989.0010333,96750,144,10000,V13P,0,0,0,12.1,10,0,0,0,0,0,
CK371,CT2020_104,104,947,951,28,flasher,77,49,corner,Y,20_124,123,8006,16-20,989.0010333,96758,145,10001,V13P,1,0,0,7.2,6.2,0,0,0,0,0,
CK372,CT2020_104,104,951,954,28,flasher,55,32,corner,N,20_125,NA,8006,21-25,989.0010333,96804,NA,NA,NA,3,0,0,2.9,2.6,0,0,0,0,0,
CK373,CT2020_105,105,1002,1005,28,flasher,66,42,corner,Y,20_126,NA,8006,26-30,989.0010333,96801,NA,NA,NA,2,0,0,8.9,9.1,0,0,0,0,0,
CK374,CT2020_106,106,1028,1030,20,flasher,74,46,corner,Y,20_127,NA,8006,31-35,989.0010333,96822,NA,NA,NA,3,0,0,6.6,4.7,0,0,0,0,0,lots of blood
CK375,CT2020_106,106,1031,1035,24,spoon,75,50,corner,Y,20_128,NA,8006,36-40,989.0010333,96792,146,10002,V13P,2,0,0,10.3,7.8,0,0,0,0,0,
CK376,CT2020_106,106,1052,1056,28,flasher,77,44,corner,N,20_129,124,8006,41-45,989.0010333,96823,147,10003,V13P,2,0,0,6.9,8.4,0,0,0,0,0,
CK377,CT2020_107,107,1117,1119,24,spoon,44,25,corner,N,20_130,NA,8006,NA,989.0010333,96830,NA,NA,NA,2,0,0,1.3,1.2,0,0,0,0,0,came up drowned
CK378,CT2020_107,107,1126,1130,24,spoon,79,52,corner,N,20_131,125,8006,46-50,989.0010333,96828,148,10004,V13P,1,0,0,9.8,9.9,0,0,0,0,0,scarring; RECAPTURED (see file)
CK379,CT2020_108,108,1201,1230,28,flasher,45,27,corner,N,20_132,NA,8006,NA,989.0010333,96831,NA,NA,NA,0,0,0,3.3,3.2,0,0,0,0,0,
CK380,CT2020_117,117,725,728,26,flasher,72,44,corner,N,20_141,NA,8007,5-Jan,989.0010333,96805,NA,NA,NA,3,0,0,10.8,11.1,0,0,0,0,0,lots of blood
CK381,CT2020_120,120,831,833,16,flasher,47,28,corner,Y,20_142,NA,8007,10-Jun,989.0010333,96812,NA,NA,NA,0,0,0,4.3,3.5,0,0,0,0,0,
CK382,CT2020_120,120,838,NA,26,flasher,52,27,foul,Y,20_143,NA,8007,15-Nov,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.4,NA,NA,NA,NA,NA,dead on landing; gill ripped
CK383,CT2020_121,121,900,903,26,flasher,63,41,corner,Y,20_144,NA,8007,16-20,989.0010333,96810,NA,NA,NA,3,0,0,14.5,14.7,0,0,0,0,0,lots of blood
CK384,CT2020_125,125,1106,1109,26,flasher,67,40,corner,Y,20_145,NA,8007,21-25,989.0010333,96814,NA,NA,NA,3,0,1,4.1,4,0,0,0,0,0,lots of blood
CK385,CT2020_125,125,1117,1119,26,flasher,80,51,corner,Y,20_146,NA,8007,26-30,989.0010333,96734,NA,NA,NA,3,1,1,6.4,5.3,0,0,0,0,0,lots of blood
CK386,CT2020_128,128,1225,1228,16,spoon,52,31,corner,N,20_147,NA,8007,31-35,989.0010333,96807,NA,NA,NA,0,0,0,3.5,3.4,0,0,0,0,0,
CK387,CT2020_129,129,1315,1319,24,flasher,61,34,corner,N,20_148,126,8007,36-40,989.0010333,96740,149,10005,V13P,0,0,0,2.1,1.5,0,0,0,0,0,
CK388,CT2020_129,129,1326,1330,16,flasher,82,47,corner,N,20_149,127,8007,41-45,989.0010333,96775,101,8209,V13P_redeploy,2,2,0,13,12.7,0,0,0,0,0,redeployed an old tag due to bleeding
CK389,CT2020_130,130,1331,1334,24,flasher,61,32,corner,Y,20_150,NA,8007,46-50,989.0010333,96795,NA,NA,NA,1,0,0,3,2.2,0,0,0,0,0,
CK390,CT2020_130,130,1354,1355,20,flasher,48,29,corner,N,20_151,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,incomplete workup because larger fish on line behind
CK391,CT2020_130,130,1356,1400,24,flasher,64,38,corner,Y,20_152,128,8022,5-Jan,989.0010333,96777,150,10006,V13P,0,0,1,8.2,7.5,0,0,0,0,0,RECAPTURED (see file)
CK392,CT2020_131,131,1401,1403,20,flasher,68,41,corner,Y,20_153,129,8022,10-Jun,989.0010333,96806,NA,NA,NA,3,0,1,6.4,5.6,0,0,0,0,0,
CK393,CT2020_133,133,1504,1507,20,flasher,57,31,corner,Y,20_154,NA,8022,15-Nov,989.0010333,96748,NA,NA,NA,0,0,0,1.8,1.3,0,0,0,0,0,
CK394,CT2020_133,133,1531,1533,20,flasher,49,27,corner,Y,20_155,NA,8022,16-20,989.0010333,96803,NA,NA,NA,0,0,0,2.3,2.1,0,0,0,0,0,
CK395,CT2020_135,135,806,808,26,flasher,46,25,corner,Y,20_161,NA,8023,NA,989.0010333,96798,NA,NA,NA,0,1,0,1.5,1.3,0,0,0,0,0,
CK396,CT2020_136,136,824,826,22,flasher,56,30,corner,N,20_162,NA,8023,NA,989.0010333,96808,NA,NA,NA,1,0,0,2.7,2.6,0,0,0,0,0,
CK397,CT2020_136,136,837,842,22,flasher,63,35,corner,Y,20_163,129,8023,5-Jan,989.0010333,96802,172,7689,V13P_redeploy,2,0,2,3.7,3,0,0,0,0,0,redeployed an old tag due to size
CK398,CT2020_137,137,851,853,26,flasher,49,25,corner,Y,20_164,NA,8023,10-Jun,989.0010333,96766,NA,NA,NA,1,0,0,2.2,1.7,0,0,0,0,0,
CK399,CT2020_137,137,856,859,26,flasher,47,26,corner,Y,20_165,NA,8023,15-Nov,989.0010333,96776,NA,NA,NA,2,0,0,4.2,4.3,0,0,0,0,0,
CK400,CT2020_137,137,908,911,22,flasher,52,28,corner,Y,20_166,NA,8023,16-20,989.0010333,96785,NA,NA,NA,0,0,0,0.9,0.9,0,0,0,0,0,
CK401,CT2020_138,138,937,940,26,flasher,49,27,corner,Y,20_167,NA,8023,21-25,989.0010333,96789,NA,NA,NA,1,0,0,2.7,2.6,0,0,0,0,0,
CK402,CT2020_138,138,941,943,22,flasher,46,26,corner,Y,20_168,NA,8023,26-30,989.0010333,96825,NA,NA,NA,0,0,0,1.6,1.4,0,0,0,0,0,
CK403,CT2020_140,140,1022,1030,18,spoon,50,27,corner,Y,20_169,NA,NA,NA,989.0010333,96773,NA,NA,NA,1,0,0,1.3,1.3,0,0,0,0,0,
CK404,CT2020_140,140,1024,1029,26,flasher,74,41,corner,Y,20_170,130,NA,NA,989.0010333,96765,151,10007,V13P,2,0,0,4.2,3.7,0,0,0,0,0,
CK405,CT2020_141,141,1044,1051,22,flasher,52,30,corner,Y,20_171,NA,8023,31-35,989.0010333,96824,NA,NA,NA,1,0,0,2.8,3,0,0,0,0,0,
CK406,CT2020_141,141,1045,1050,26,flasher,62,35,corner,N,20_172,131,8023,36-40,989.0010333,96820,152,10008,V13P,0,2,0,4.8,4.2,0,0,0,0,0,
CK407,CT2020_142,142,1137,1142,26,flasher,75,46,corner,Y,20_173,132,8023,41-45,989.0010333,96826,155,10009,V13P,2,0,0,8.5,6.9,0,0,0,0,0,RECAPTURED (see file)
CK408,CT2020_143,143,1213,1215,26,flasher,55,30,corner,Y,20_174,NA,8023,46-50,989.0010333,96554,NA,NA,NA,0,0,0,1.5,1.4,0,0,0,0,0,
CK409,CT2020_144,144,1220,1222,26,flasher,50,28,corner,N,20_175,NA,8028,5-Jan,989.0010333,96581,NA,NA,NA,3,0,0,2.6,1.9,0,0,0,0,0,
CK410,CT2020_144,144,1224,1227,26,flasher,45,26,corner,Y,20_176,NA,8028,10-Jun,989.0010333,96589,NA,NA,NA,1,1,0,1.1,0.8,0,0,0,0,0,
CK411,CT2020_144,144,1230,1232,18,spoon,49,29,corner,Y,20_177,NA,8028,15-Nov,989.0010333,96609,NA,NA,NA,0,0,0,1.6,1.9,0,0,0,0,0,
CK412,CT2020_145,145,1257,1302,18,spoon,60,36,corner,Y,20_178,133,8028,16-20,989.0010333,96601,171,7713,V13P_redeploy,2,1,1,6.8,6,0,0,0,0,0,redeployed an old tag due to size
CK413,CT2020_145,145,1304,1307,18,spoon,51,29,corner,Y,20_179,NA,8028,21-25,989.0010333,96593,NA,NA,NA,1,1,1,1.6,1.4,0,0,0,0,0,
CK414,CT2020_145,145,1307,1313,22,flasher,57,30,corner,N,20_180,134,8028,26-30,989.0010333,96610,170,7726,V13P_redeploy,1,0,0,4.5,3.9,0,0,0,0,0,redeployed an old tag due to size
CK415,CT2020_146,146,1316,1319,26,flasher,53,29,corner,N,20_181,NA,8028,31-35,989.0010333,96541,NA,NA,NA,0,0,0,3,3,0,0,0,0,0,
CK416,CT2020_147,147,1400,1404,22,flasher,58,32,corner,Y,20_182,135,8028,36-40,989.0010333,96542,169,7704,V13P_redeploy,1,0,0,3,2.1,0,0,0,0,0,redeployed an old tag due to size
CK417,CT2020_148,148,1420,1423,22,flasher,56,31,corner,Y,20_183,NA,8028,41-45,989.0010333,96624,NA,NA,NA,1,0,0,2.8,2.6,0,0,0,0,0,
CK418,CT2020_148,148,1444,1451,18,spoon,47,28,corner,N,20_184,NA,NA,NA,989.0010333,96602,NA,NA,NA,1,0,0,2.1,2.1,0,0,0,0,0,
CK419,CT2020_148,148,1445,1450,26,flasher,59,35,corner,N,20_185,136,8028,46-50,989.0010333,96616,168,7939,V13P_redeploy,1,1,0,6.2,5.3,0,0,0,0,0,redeployed an old tag due to size; recaptured (see file)
CK420,CT2020_149,149,1455,1457,18,flasher,46,27,corner,Y,20_186,NA,8024,5-Jan,989.0010333,96547,NA,NA,NA,0,0,0,0.8,0.7,0,0,0,0,0,
CK421,CT2020_149,149,1504,1506,26,flasher,51,28,corner,Y,20_187,NA,8024,10-Jun,989.0010333,96626,NA,NA,NA,0,0,0,2.4,2.6,0,0,0,0,0,
CK422,CT2020_149,149,1512,1516,22,flasher,60,33,corner,Y,20_188,137,8024,15-Nov,989.0010333,96629,154,10010,V13P,0,0,0,3.2,3.7,0,0,0,0,0,
CK423,CT2020_150,150,1518,1521,22,flasher,52,30,corner,Y,20_189,NA,8024,16-20,989.0010333,96580,NA,NA,NA,3,0,0,2.6,2.4,0,0,0,0,0,
CK424,CT2020_150,150,1525,1527,26,flasher,57,34,corner,N,20_190,NA,8024,21-25,989.0010333,96619,NA,NA,NA,1,0,0,4.4,3.6,0,0,0,0,0,
CK425,CT2020_150,150,1529,1531,26,flasher,53,31,corner,Y,20_191,NA,8024,16-Nov,989.0010333,96618,NA,NA,NA,0,0,0,1.9,1.8,0,0,0,0,0,
CK426,CT2020_150,150,1558,1602,22,flasher,78,53,corner,Y,20_192,138,8024,16-21,989.0010333,96587,153,10011,V13P,0,1,0,7,8.1,0,0,0,0,0,
CK427,CT2020_150,150,1607,1612,26,flasher,65,38,snout,Y,20_193,NA,8024,21-26,989.0010333,96631,174,7715,V13P_redeploy,3,0,0,NA,NA,0,0,0,0,0,redeployed an old tag due to snout wound; forgot to gather fatmeter data
CK428,CT2020_151,151,801,806,22,flasher,79,49,eye,Y,20_201,139,8025,5-Jan,989.0010333,96583,175,7926,V13P_redeploy,3,1,1,8.2,6.7,0,0,0,0,0,redeployed an old tag due to eye wound
CK429,CT2020_152,152,825,828,18,flasher,54,30,corner,Y,20_202,NA,8025,10-Jun,989.0010333,96579,NA,NA,NA,0,0,0,3.1,2.5,0,0,0,0,0,
CK430,CT2020_152,152,829,831,18,flasher,57,32,corner,Y,20_203,NA,8025,15-Nov,989.0010333,96622,NA,NA,NA,0,0,0,4.2,3.7,0,0,0,0,0,
CK431,CT2020_152,152,833,836,26,flasher,52,29,corner,Y,20_204,NA,8025,16-20,989.0010333,96611,NA,NA,NA,0,0,0,1.3,1.8,0,0,0,0,0,
CK432,CT2020_153,153,901,905,18,flasher,78,48,corner,N,20_205,140,8025,21-25,989.0010333,96592,158,10012,V13P,1,0,0,9.1,8.4,0,0,0,0,0,
CK433,CT2020_154,154,910,912,22,spoon,55,31,corner,Y,20_206,NA,8025,26-30,989.0010333,96556,NA,NA,NA,0,0,0,1.9,1.5,0,0,0,0,0,
CK434,CT2020_155,155,945,948,22,spoon,53,30,corner,Y,20_207,NA,8025,31-35,989.0010333,96558,NA,NA,NA,0,0,0,3.4,3.2,0,0,0,0,0,
CK435,CT2020_156,156,1008,1010,18,flasher,56,34,corner,Y,20_208,NA,8025,36-40,989.0010333,96569,NA,NA,NA,0,0,0,2.1,1.8,0,0,0,0,0,
CK436,CT2020_157,157,1036,1040,26,flasher,62,36,corner,N,20_209,141,8025,41-45,989.0010333,96552,176,7914,V13P_redeploy,1,0,0,3.1,3.3,0,0,0,0,0,redeployed an old tag due to size
CK437,CT2020_157,157,1054,1056,18,flasher,52,31,corner,N,20_210,NA,8025,46-50,989.0010333,96605,NA,NA,NA,0,0,0,3.1,2.7,0,0,0,0,0,
CK438,CT2020_157,157,1100,1102,22,spoon,51,30,corner,Y,20_211,NA,8027,5-Jan,989.0010333,96603,NA,NA,NA,0,2,0,2.1,2.2,0,0,0,0,0,
CK439,CT2020_158,158,1104,1110,22,spoon,54,31,corner,Y,20_212,NA,8027,15-Nov,989.0010333,96623,NA,NA,NA,0,1,0,3.1,2.5,0,0,0,0,0,
CK440,CT2020_158,158,1105,1108,26,flasher,60,32,corner,Y,20_213,NA,8027,10-Jun,989.0010333,96564,173,7730,V13P_redeploy,0,0,0,3,3.3,0,0,0,0,0,redeployed an old tag due to size
CK441,CT2020_158,158,1125,1129,22,spoon,68,38,corner,Y,20_214,142,8027,16-20,989.0010333,96534,157,10013,V13P,0,2,1,5.2,4.5,0,0,0,0,0,
CK442,CT2020_159,159,1153,1157,18,flasher,74,50,corner,N,20_215,143,8027,21-25,989.0010333,96575,156,10014,V13P,1,0,0,8.9,7.1,0,0,0,0,0,
CK443,CT2020_159,159,1157,1200,26,flasher,61,35,eye,Y,20_216,NA,8027,26-30,989.0010333,96598,177,7516,V9T,3,0,0,6.8,6.2,0,0,0,0,0,V7 due to injuries
CK444,CT2020_161,161,1252,1256,26,flasher,61,34,corner,N,20_217,NA,8027,31-35,989.0010333,96595,178,7517,V9T,1,1,0,8.4,7.3,0,0,0,0,0,V7 due to size
CK445,CT2020_162,162,1316,1321,26,flasher,79,45,corner,N,20_218,NA,8027,36-40,989.0010333,96582,161,10015,V13P,2,1,1,11,10.8,0,0,0,0,0,
CK446,CT2020_162,162,1321,1324,18,flasher,57,31,corner,N,20_219,NA,8027,41-45,989.0010333,96577,NA,NA,NA,0,0,0,3.9,3.4,0,0,0,0,0,
CK447,CT2020_165,165,1433,1435,26,flasher,48,27,corner,Y,20_220,NA,8027,46-50,989.0010333,96620,NA,NA,NA,0,0,1,1.7,2.1,0,0,0,0,0,
CK448,CT2020_166,166,1515,1517,18,spoon,61,33,eye,Y,20_221,NA,8026,5-Jan,989.0010333,96614,NA,NA,NA,2,2,1,4.9,5.4,0,0,0,0,0,
CK449,CT2020_166,166,1520,1522,18,spoon,53,30,corner,Y,20_222,NA,8026,10-Jun,989.0010333,96566,NA,NA,NA,0,0,0,3,2.8,0,0,0,0,0,
CK450,CT2020_rec1,rec1,822,826,13,teaser,87,53,corner,N,20_223,144,8026,15-Nov,989.0010333,96532,unknown,10016,V13P,0,1,1,10.1,9.4,0,0,0,0,0,
CK451,CT2020_rec2,rec2,1132,1135,21,teaser,59,33,corner,N,20_224,NA,8026,16-20,989.0010333,96546,NA,NA,NA,0,1,0,3.1,2.5,0,0,0,0,0,
CK452,CT2020_rec3,rec3,1314,1317,21,teaser,60,32,corner,Y,20_225,NA,8026,21-25,989.0010333,96551,181,7520,V9T,0,1,0,2.6,2.2,0,0,0,0,0,V7 due to size
CK453,CT2020_rec4,rec4,1551,1555,11,teaser,90,54,corner,N,20_226,NA,8026,26-30,989.0010333,96550,182,7521,V9T,1,1,1,4.5,4,0,0,0,0,0,V7 due to location
CK454,CT2020_rec5,rec5,1645,1650,11,teaser,75,39,corner,Y,20_227,NA,8026,31-35,989.0010333,96549,183,7522,V9T,2,1,0,1.6,1.8,0,0,0,0,0,V7 due to location (old wound on jaw)
CK455,CT2020_rec5,rec5,1646,1654,11,teaser,69,40,corner,N,20_228,NA,8026,36-40,989.0010333,96545,184,7523,V9T,1,0,0,7.5,8.1,0,0,0,0,0,V7 due to location
CK456,CT2020_rec6,rec6,721,726,13,teaser,77,44,corner,N,20_229,145,8026,41-45,989.0010333,96613,159,10017,V13P,0,1,0,7.1,5.8,0,0,0,0,0,detected by KM 
CK457,CT2020_rec7,rec7,956,1001,13,teaser,81,54,corner,N,20_230,146,8026,46-50,989.0010333,96630,164,10018,V13P,0,1,1,6.7,6,0,0,0,0,0,
CK458,CT2020_rec8,rec8,1055,1100,16,teaser,67,38,corner,Y,20_231,147,8029,5-Jan,989.0010333,96576,163,10019,V13P,0,1,1,4.6,4.2,0,0,0,0,0,
CK459,CT2020_rec9,rec9,1239,1243,16,teaser,70,41,corner,N,20_232,148,8029,10-Jun,989.0010333,96594,162,10020,V13P,0,0,1,6.1,5.7,0,0,0,0,0,
CK460,CT2020_rec10,rec10,1348,1353,16,teaser,70,40,corner,Y,20_233,149,8029,15-Nov,989.0010333,96560,167,10021,V13P,0,0,2,3.2,3.1,0,0,0,0,0,
CK461,CT2020_168,168,810,813,20,flasher,65,39,corner,Y,20_241,NA,8030,5-Jan,989.0010333,96621,180,7519,V9T,1,1,0,6.1,4.6,0,0,0,0,0,V7 due to size
CK462,CT2020_169,169,825,828,16,flasher,50,27,corner,N,20_242,NA,8030,10-Jun,989.0010333,96578,NA,NA,NA,0,1,0,2.4,2.6,0,0,0,0,0,
CK463,CT2020_172,172,1010,1013,16,flasher,64,37,snout,Y,20_243,NA,8030,15-Nov,989.0010333,96557,179,7518,V9T,0,0,1,3.9,3.2,0,0,0,0,0,V7 due to size
CK464,CT2020_172,172,1013,1017,20,flasher,78,44,corner,Y,20_244,150,8030,16-20,989.0010333,96585,166,10022,V13P,0,0,1,9.3,7.5,0,0,0,0,0,
CK465,CT2020_175,175,1149,1151,20,flasher,55,30,corner,Y,20_245,NA,8030,21-25,989.0010333,96599,NA,NA,NA,0,0,0,1.2,1.2,0,0,0,0,0,
CK466,CT2020_176,176,1210,NA,26,flasher,61,32,corner,Y,20_246,NA,8030,26-30,989.0010333,NA,NA,NA,NA,NA,NA,NA,4.7,3.3,NA,NA,NA,NA,NA,dead on landing (drowned)
CK467,CT2020_176,176,1220,1222,22,spoon,58,34,corner,Y,20_247,NA,8030,31-35,989.0010333,96608,NA,NA,NA,0,0,0,6.5,6.2,0,0,0,0,0,
CK468,CT2020_176,176,1224,1227,26,flasher,56,29,corner,Y,20_248,NA,8030,36-40,989.0010333,96591,NA,NA,NA,2,0,0,2.2,1.9,0,0,0,0,0,
CK469,CT2020_176,176,1227,1230,26,flasher,64,33,corner,Y,20_249,NA,8030,41-45,989.0010333,96584,185,7524,V9T,0,0,0,4.4,4.3,0,0,0,0,0,V7 due to size
CK470,CT2020_177,177,1232,1237,18,flasher,81,48,corner,N,20_250,151,8030,46-50,989.0010333,96553,165,10023,V13P,1,0,1,11.5,10.3,0,0,0,0,0,
CK471,CT2020_177,177,1240,1244,22,spoon,60,34,corner,N,20_251,NA,8040,5-Jan,989.0010333,96548,NA,NA,NA,3,0,0,5.1,5.3,0,0,0,0,0,
CK472,CT2020_177,177,1246,1248,22,spoon,49,27,corner,N,20_252,NA,8040,10-Jun,989.0010333,96555,NA,NA,NA,0,0,0,3.2,3.4,0,0,0,0,0,
CK473,CT2020_177,177,1250,1252,26,flasher,51,29,corner,N,20_253,NA,8040,15-Nov,989.0010333,96535,NA,NA,NA,1,0,0,1.5,1.8,0,0,0,0,0,
CK474,CT2020_178,178,1305,1308,18,flasher,65,35,corner,Y,20_254,NA,8040,16-20,989.0010333,96627,186,7525,V9T,1,0,0,4.5,3.5,0,0,0,0,0,V7 due to size
CK475,CT2020_178,178,1315,1318,22,spoon,62,37,corner,Y,20_255,NA,8040,21-25,989.0010333,96567,190,7529,V9T,0,0,0,3.9,3.5,0,0,0,0,0,V7 due to size
CK476,CT2020_178,178,1320,1324,26,flasher,69,41,eye,Y,20_256,NA,8040,26-30,989.0010333,96625,191,7530,V9T,3,0,0,5.9,6,0,0,0,0,0,V7 due to size
CK477,CT2020_179,179,1331,1333,22,flasher,58,31,corner,N,20_257,NA,8040,31-35,989.0010333,96628,NA,NA,NA,0,0,0,2.3,2.4,0,0,0,0,0,
CK478,CT2020_179,179,1346,1350,22,spoon,57,32,corner,N,20_258,NA,8040,36-40,989.0010333,96563,187,7526,V9T,0,0,0,2.5,2.4,0,0,0,0,0,V7 due to size
CK479,CT2020_179,179,1348,1352,26,flasher,52,30,corner,Y,20_259,NA,8040,41-45,989.0010333,96615,NA,NA,NA,2,0,0,1.4,1.4,0,0,0,0,0,
CK480,CT2020_179,179,1351,1358,18,flasher,48,26,corner,Y,20_260,NA,8040,46-50,989.0010333,96540,NA,NA,NA,0,0,0,3.3,2.5,0,0,0,0,0,
CK481,CT2020_179,179,1356,1402,26,flasher,59,35,corner,N,20_261,NA,8039,5-Jan,989.0010333,96562,188,7527,V9T,0,0,0,6.8,8,0,0,0,0,0,V7 due to size
CK482,CT2020_180,180,1402,1406,26,flasher,68,38,corner,Y,20_262,NA,8039,10-Jun,989.0010333,96600,189,7528,V9T,0,0,0,6.9,6.3,0,0,0,0,0,V7 due to size
CK483,CT2020_180,180,1421,1423,26,flasher,49,26,corner,Y,20_263,NA,8039,15-Nov,989.0010333,96561,NA,NA,NA,1,0,0,2,2,0,0,0,0,0,
CK484,CT2020_180,180,1425,1428,26,flasher,57,32,corner,Y,20_264,NA,8039,16-20,989.0010333,96568,NA,NA,NA,1,0,0,5.3,5.3,0,0,0,0,0,
CK485,CT2020_180,180,1430,1432,26,flasher,58,32,corner,N,20_265,NA,8039,21-25,989.0010333,96538,NA,NA,NA,0,0,0,3.2,3.8,0,0,0,0,0,
CK486,CT2020_181,181,1434,1436,22,spoon,62,35,corner,Y,20_266,NA,8039,26-30,989.0010333,96559,NA,NA,NA,0,0,0,4.3,4.4,0,0,0,0,0,
CK487,CT2020_181,181,1441,1445,26,flasher,74,42,corner,Y,20_267,152,8039,31-35,989.0010333,96565,192,10024,V13P,1,1,0,6.3,6.9,0,0,0,0,0,
CK488,CT2020_182,182,1518,1522,22,spoon,61,35,corner,Y,20_268,153,8039,36-40,989.0010333,96544,193,10025,V13P,0,0,0,6,6.3,0,0,0,0,0,
CK489,CT2020_182,182,1530,1535,22,spoon,64,35,corner,Y,20_269,154,8039,41-45,989.0010333,96537,194,10026,V13P,0,0,0,4.5,4.1,0,0,0,0,0,
CK490,CT2020_182,182,1555,1558,26,flasher,59,32,corner,Y,20_270,NA,8039,46-50,989.0010333,96573,NA,NA,NA,0,1,0,2.3,2,0,0,0,0,0,
CK491,CT2020_185,185,800,805,12,flasher,62,35,corner,N,20_281,155,8038,5-Jan,989.0010333,96607,195,10027,V13P,0,1,0,3.9,3.5,0,0,0,0,0,
CK492,CT2020_186,186,806,810,16,spoon,64,36,corner,Y,20_282,156,8038,10-Jun,989.0010333,96533,196,10028,V13P,0,0,1,5.9,5.4,0,0,0,0,0,
CK493,CT2020_186,186,811,814,16,flasher,55,32,corner,Y,20_283,NA,8038,15-Nov,989.0010333,96570,NA,NA,NA,0,1,0,4.7,4.4,0,0,0,0,0,
CK494,CT2020_186,186,815,823,16,spoon,56,29,corner,Y,20_284,NA,8038,16-20,989.0010333,96543,NA,NA,NA,1,1,1,1.8,1.3,0,0,0,0,0,
CK495,CT2020_186,186,815,820,20,flasher,75,48,corner,Y,20_285,157,8038,21-25,989.0010333,96539,197,10029,V13P,0,1,1,9.4,7.5,0,0,0,0,0,
CK496,CT2020_187,187,835,838,16,flasher,48,26,eye,N,20_286,NA,8038,26-30,989.0010333,96571,NA,NA,NA,3,0,0,3,2.7,0,0,0,0,0,
CK497,CT2020_187,187,838,841,20,flasher,49,28,corner,Y,20_287,NA,8038,31-35,989.0010333,96572,NA,NA,NA,0,1,0,1.6,1.3,0,0,0,0,0,
CK498,CT2020_187,187,843,845,16,spoon,53,30,snout,Y,20_288,NA,8038,36-40,989.0010333,96536,NA,NA,NA,0,1,0,4.5,6.1,0,0,0,0,0,
CK499,CT2020_187,187,856,858,20,flasher,50,26,snout,N,20_289,NA,8038,41-45,989.0010333,96586,NA,NA,NA,0,0,0,2.6,2.4,0,0,0,0,0,
CK500,CT2020_188,188,911,915,20,flasher,60,34,corner,Y,20_290,NA,8038,46-50,989.0010333,96574,198,17340,V9,0,1,0,2.8,3.7,0,0,0,0,0,V7 due to size
CK501,CT2020_188,188,927,NA,20,flasher,47,24,gill,N,20_291,NA,8037,5-Jan,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.5,NA,NA,NA,NA,NA,dead on landing (gilled)
CK502,CT2020_189,189,946,949,20,flasher,49,26,corner,Y,20_292,NA,8037,10-Jun,989.0010333,96596,NA,NA,NA,2,0,0,0.8,1.4,0,0,0,0,0,
CK503,CT2020_189,189,954,957,16,spoon,49,25,corner,Y,20_293,NA,8037,15-Nov,989.0010333,96588,NA,NA,NA,2,0,1,0.7,0.6,0,0,0,0,0,
CK504,CT2020_192,192,1106,1108,24,flasher,50,27,corner,N,20_294,NA,8037,16-20,989.0010333,96590,NA,NA,NA,0,0,0,3.1,3,0,0,0,0,0,
CK505,CT2020_192,192,1116,1119,24,flasher,59,32,gill,Y,20_295,NA,8037,21-25,989.0010333,96604,NA,NA,NA,3,0,0,2.4,2.7,1,1,0,1,0,heavy bleeding
CK506,CT2020_192,192,1122,1125,24,flasher,56,33,corner,Y,20_296,NA,8037,26-30,989.0010333,96606,200,17342,V9,0,0,0,6.8,7.3,0,0,0,0,0,V7 due to size
CK507,CT2020_193,193,1132,1134,24,flasher,48,26,corner,Y,20_297,NA,8037,31-35,989.0010333,96612,NA,NA,NA,0,0,0,1.4,1.3,0,0,0,0,0,
CK508,CT2020_194,194,1211,NA,24,flasher,52,28,corner,Y,20_298,NA,8037,36-40,989.0010333,NA,NA,NA,NA,NA,NA,NA,3.1,2.3,0,0,0,0,0,dead on landing (drowned)
